ID,리뷰어,리뷰날짜,리뷰텍스트
11,rh** ,21.09.08,"자켓이지만 나시에 단추 잠그고 입을 옷을 찾다가 인기 제일 많은 상품으로 뜨길래 포토후기를 거의 다 읽어보고 구매했습니다!
제가 통통한 편인데요 그럼에도 불구하고 넉넉한 품과 큰 어깨는 후기를 읽어보고 s사이즈를 구매하기 잘했다고 생각했습니다!
저는 …더보기"
11,yy** ,21.06.02,너무너무 맘에 들어요~!! 그래서 색상별로 구매하고 다른상품도 오늘 추가 구매햇습니다! 약간 크게 입는게 좋아서 크게 주문햇는데 만족합니다! 어깨깡패된다던데 저는 잘몰겟어요 ㅠㅠ 오히려 적당히 슬림해 보이는 효과를 주는것 같아용!!!
12,ll** ,22.11.12,"첨에 M 으로 샀다가 핏이 너무 어벙벙하고 커서 S 사쥬로 교환해서 받았습니다 결론부터 말하면 제 스펙 정도-이하이신 분들은 S가 딱일 듯 합니당

평소 오버핏 좋아하시고 오버핏으로 입는 분들 아니면 M이 아주아주 어색할 거예요... 첨에 입어보고 이…더보기"
12,kd** ,23.11.10,"자켓은 m사이즈 코트는 s,m 입는데 후기보고 m크다해서 
s주문했는데 안에 니트입을꺼 생각하면 많이 낍니다 ㅋㅋㅋ 
m할껄 그랬어요 ㅠㅠ 쩝 그래도 딱 맞게 입어도 나쁘지 않아서 걍 입네요 상체 있으신 뷴들은 무조건 m하세요 
약간 교복같은 느낌 들…더보기"
12,gu** ,23.11.08,"겁나 예쁨이에요...
사이즈 s랑 m 고민했는데 m샀으면 폼도 그렇고 팔쪽이 컸을것 같아요! 전 하체에 비해 상체가 조금 마른편이라 s딱 좋습니다!
색상도 생각했던 그대로이고 재질도 까슬거림없이 좋아요~
겨울에 안에 두꺼운 니트나 여러겹 껴입고서도 입…더보기"
12,pe** ,23.11.04,같이 구매한 오트밀스커트랑 입으니까 완전 셋업같고 이쁘네요ㅎㅎ 살까말까 고민하다가 결국 오트밀로 샀는데 만족해요!! 핏도 이쁘고 목부분 말이 많아서 고민됐는데 브이넥이랑 입으니까 또 괜찮아요
12,ji** ,23.10.25,"할인가격으로 정말 질 좋은 코트를 좋은 가격에 구매한 것 같아요! 생각보다 두께감이 있어서 겨울에도 한파만 아니면 잘 입을 것 같아요 색상도 어디에나 잘 어울릴
브라운 색상입니다! 품도 딱 적당해요~ 제가 키가 작은데 소매길이가 딱 적당한 정도라 팔 …더보기"
13,go** ,23.10.09,"슬앤자켓 오랜만에 구매했어요
크롭기장이라 다리가 길어보이고 캐주얼하게 입어도 잘 어울리는거같아요
예전에 제작자켓 구매했을 때 소매 걷었을때 지저분한게 별로였는데 이건 깔끔해서 좋아요.
겉주머니는 없지만 이너포켓 있어서 편하고, 자켓 소재는 매끈한 폴리…더보기"
13,ab** ,23.10.04,"봄가을용으로 나온것같은 두께예요! 여름에 입기엔 더워요
요즘처럼 겉옷 입기 좋은 날씨에 걸치면 좋아요
특히나 예식 장례식 또는 격식있는 자리에 입기 가장 무난하고 좋은 기본템이라 오래오래 입을거같아요!!"
13,03** ,22.10.22,"키 157cm. 몸무게 57kg입니다.
키가 작아 숏자켓이 있으면 좋겠다 했는데 잘 샀어요!
자켓이 두루두루 사용도가 너무 좋아요!! 여기저기 잘 어울려!
이번주초에 받고 토욜까지 매일 입은 듯...♡

슬로우앤드에서 같이 산 모션인생수트스커트 그레이…더보기"
13,he** ,22.09.13,"팔목 부분 팔통을 대체 왜 이렇게만들었는지 이해가..
너무 길고 이상해서 꼭 접어서 입어야할듯…
컬러는 흔한 베이지 아니여서 맘에듭니다.
두께감도 있어서 아직 못입고 나가는데 잘 입어지길.. ㅠ
재질은 제 기준 그리 고급진 느낌은 모르겠어요 
다른 자…더보기"
13,01** ,22.04.20,"슬로우앤드 알게된지 얼마 안됐는데 옷 퀄리티가 너무 좋아서 지금 엄청 많이 사고있어요.. ㅋㅋㅋ
거의 슬앤 홀릭됐어요
자체제작 많아서 너무 좋아요 !! 

우선 이 자켓은 진짜 흔하지 않은 색상이라 소장가치있구요 옷 입으면 디게 분위기있어보여요
슬앤에…더보기"
14,ln** ,23.09.07,"170/76 오버핏 맞습니다 ㅋㅋ 지금보다 좀 더 가을이 오면 안에 티입고 가볍게 입기 좋을거 같아요!! 색상이 딱 추울때 입는 색상입니다 너무 많이 구겨져서 와서 그게
아쉬워요 ㅠㅠ 집에 스팀다리미가 없어서 어떻게 해야하나 고민입니다"
14,sl** ,23.07.14,단정하게 걸칠 수 있는 자켓 찾다가 몸에 딱 맞는 옷은 또 싫어하는지라 구입했는데 아주 좋아요. 아마 잠그고 다니진 않을 거 같고 통통한 사람에게도 오버핏으로 착용되는 아주 넉넉함을 자랑하네요. 소매는 걷어서 입어야 할 거 같고 어깨에 패드가 있어 더…더보기
14,pr** ,23.03.30,배송이 생각보다 늦게 오지만 옷은 만족스러워요~ 색깔이 너무 이쁘고 재질도 괜찮은 거 같아요. 조금 루즈피트 느낌이라 편하게 입고 다닐 수 있을 거 같아서 좋아요~! 가격이 비해 아주 괜찮습니다! 강추입니다~~
14,go** ,23.03.11,옷이 생각보다 가볍고 재질이 부드러워요.길이감도 엉덩이를 살짝덮고 디자인이 세련돼서 좋았어요.핏이 일단 부해보이지 않아요.제가 66사이즈 입는데 정 사이즈에요.하의를 어떤거를 받쳐입어도 부담없는 스타일. 강추! 가격!
14,yu** ,23.03.10,"구매평이 좋아서 괜찮다 싶어 구매했어요
많이 구겨져서 오지않아서 바로 입어도 될것 같아요
봄에 원피스랑 입어도 이쁘고 정장.청바지 다 잘어울릴것
같네요! 66사이즈인데 예쁜 오버핏으로 잘 맞아요"
15,fh** ,23.09.17,라이트옐로우랑 그냥옐로우랑 차이점이 컬러감이 아니라 두께감 차이더라구요! 저는 브라운슬랙스에 매치하려고 라이트옐로우 구매했는데 약간만 더 추워지면 입기 딱 좋은 봄가을 자켓이예요! 컬러감도 너무 예쁘고 득템했습니다ㅋㅋ
15,sa** ,23.08.23,"너무 귀여운 핑크 트위드 자켓이다
173, 62 인데 완전 오버핏으로 입고 싶어 100사이즈 선택
색감도 연한 핑크색이라 너무 귀엽구 두께는 적당한 편이다 디자인도 깔끔하고 핏도 예뻐서 가을에 바지랑 치마랑도 매치해서 자주 입을 것 같다


”제품을 …더보기"
